model,valid_time,height_agl_m,mean_turbulence,p90_turbulence,high_risk_fraction,mean_uncertainty
model_d,2025-07-31 04:00:00,400.0,0.5427210330963135,0.6610907912254333,0.1389415981446342,0.28804826736450195
model_d,2025-07-31 04:00:00,450.0,0.5403354167938232,0.6582450270652771,0.12734556188066626,0.2899348735809326
model_d,2025-07-31 04:00:00,500.0,0.5456328392028809,0.6560356020927429,0.123550495467004,0.29264283180236816
model_d,2025-07-31 04:00:00,550.0,0.5414029955863953,0.6485490798950195,0.09494693934921639,0.2953832745552063
model_d,2025-07-31 04:00:00,600.0,0.537350594997406,0.6441290378570557,0.08398341415419214,0.29559633135795593
model_d,2025-07-31 04:00:00,650.0,0.5466600656509399,0.6435419321060181,0.07793941949539672,0.3006609380245209
model_d,2025-07-31 04:00:00,700.0,0.5437644124031067,0.6388095021247864,0.062337479794785294,0.3043075203895569
model_d,2025-07-31 04:00:00,750.0,0.5462368130683899,0.6411125659942627,0.06795980040761825,0.30507782101631165
model_d,2025-07-31 04:00:00,800.0,0.5465579032897949,0.636296808719635,0.05060088551549652,0.30715301632881165
model_d,2025-07-31 04:00:00,850.0,0.5488901138305664,0.6320990920066833,0.04399465879541781,0.3099997341632843
model_d,2025-07-31 04:00:00,900.0,0.5490838885307312,0.6331055164337158,0.047368051163117576,0.310202419757843
model_d,2025-07-31 04:00:00,950.0,0.5505674481391907,0.6356772780418396,0.05235786070700682,0.3108579218387604
model_d,2025-07-31 04:00:00,1000.0,0.5530072450637817,0.634318470954895,0.05214702368402558,0.3139724135398865
model_d,2025-07-31 04:00:00,1050.0,0.5525474548339844,0.6360340118408203,0.057488228266216884,0.3146509826183319
model_d,2025-07-31 04:00:00,1100.0,0.5545864105224609,0.6377140879631042,0.06015883055731253,0.3150782585144043
model_d,2025-07-31 04:00:00,1150.0,0.5540027022361755,0.6381340026855469,0.06191580574882283,0.31526264548301697
model_d,2025-07-31 04:00:00,1200.0,0.5536629557609558,0.6399699449539185,0.064164733993956,0.31817924976348877
model_d,2025-07-31 04:00:00,1250.0,0.5561330318450928,0.6425567865371704,0.07084123972169513,0.3200605809688568
model_d,2025-07-31 04:00:00,1300.0,0.553774893283844,0.6428729891777039,0.07280905193618666,0.3200380504131317
