地区,模型,月份,实际事件数,预测事件数
中东与北非,低阶SARIMA,2015-07-01,534,589.7445558589495
中东与北非,低阶SARIMA,2015-08-01,579,516.3393471473837
中东与北非,低阶SARIMA,2015-09-01,446,468.76185571905773
中东与北非,低阶SARIMA,2015-10-01,552,509.4196520147963
中东与北非,低阶SARIMA,2015-11-01,500,493.2774351683001
中东与北非,低阶SARIMA,2015-12-01,451,485.47759033288503
中东与北非,低阶SARIMA,2016-01-01,574,520.2821315570188
中东与北非,低阶SARIMA,2016-02-01,510,487.9371553110282
中东与北非,低阶SARIMA,2016-03-01,481,528.4928279938495
中东与北非,低阶SARIMA,2016-04-01,510,529.9098446424266
中东与北非,低阶SARIMA,2016-05-01,639,558.6731783494868
中东与北非,低阶SARIMA,2016-06-01,528,524.3317940801766
中东与北非,低阶SARIMA,2016-07-01,510,597.2556352402132
中东与北非,低阶SARIMA,2016-08-01,483,578.8759918277121
中东与北非,低阶SARIMA,2016-09-01,518,524.3222423534578
中东与北非,低阶SARIMA,2016-10-01,524,564.6820448946332
中东与北非,低阶SARIMA,2016-11-01,447,575.2654532753763
中东与北非,低阶SARIMA,2016-12-01,391,547.4940785208125
撒哈拉以南非洲,季节朴素,2012-01-01,144,44.0
撒哈拉以南非洲,季节朴素,2012-02-01,105,29.0
撒哈拉以南非洲,季节朴素,2012-03-01,102,31.0
撒哈拉以南非洲,季节朴素,2012-04-01,96,29.0
撒哈拉以南非洲,季节朴素,2012-05-01,97,27.0
撒哈拉以南非洲,季节朴素,2012-06-01,94,47.0
撒哈拉以南非洲,季节朴素,2012-07-01,90,39.0
撒哈拉以南非洲,季节朴素,2012-08-01,87,34.0
撒哈拉以南非洲,季节朴素,2012-09-01,79,33.0
撒哈拉以南非洲,季节朴素,2012-10-01,125,42.0
撒哈拉以南非洲,季节朴素,2012-11-01,69,102.0
撒哈拉以南非洲,季节朴素,2012-12-01,80,37.0
撒哈拉以南非洲,季节朴素,2013-01-01,83,144.0
撒哈拉以南非洲,季节朴素,2013-02-01,86,105.0
撒哈拉以南非洲,季节朴素,2013-03-01,97,102.0
撒哈拉以南非洲,季节朴素,2013-04-01,76,96.0
撒哈拉以南非洲,季节朴素,2013-05-01,84,97.0
撒哈拉以南非洲,季节朴素,2013-06-01,59,94.0
撒哈拉以南非洲,季节朴素,2013-07-01,78,90.0
撒哈拉以南非洲,季节朴素,2013-08-01,83,87.0
撒哈拉以南非洲,季节朴素,2013-09-01,72,79.0
撒哈拉以南非洲,季节朴素,2013-10-01,91,125.0
撒哈拉以南非洲,季节朴素,2013-11-01,78,69.0
撒哈拉以南非洲,季节朴素,2013-12-01,112,80.0
